Unnamed: 0,Organization Full Name,Organization Class,Responsible Party,Brief Title,Full Title,Overall Status_ph2,Start Date,Standard Age,Conditions,Primary Purpose,Interventions,Intervention Description,Study Type,Phases,Outcome Measure,Medical Subject Headings,Phases_clean,Interventions_clean,Overall Status_ph3,label_success
42,ARCAGY/ GINECO GROUP,OTHER,Unknown,Addition of Herceptin to a Carboplatin-Paclitaxel Regimen in Patients With Ovarian Cancer,"A Phase II Study Designed to Evaluate the Safety and Efficacy of the Addition of Herceptin to a Carboplatin-Paclitaxel Regimen in Early Relapse Patients (< 6 Months) With Ovarian Cancer, Overexpressing HER2, Previously Treated With Carboplatin-Paclitaxel",TERMINATED,Unknown,ADULT OLDER_ADULT,Ovarian Cancer,TREATMENT,Herceptin,Unknown,INTERVENTIONAL,PHASE2,Unknown,"Ovarian Neoplasms Carcinoma, Ovarian Epithelial",PHASE2,herceptin,COMPLETED,1
159,MedSIR,OTHER,SPONSOR,Osimertinib (AZD9291) in First-line Locally Advanced or Metastatic NSCLC Patients With EGFR and EGFR T790M,A Phase IIa Clinical Trial to Evaluate the Safety and Efficacy of Osimertinib (AZD9291) in First-line Patients With EGFR Mutation-positive Locally Advanced or Metastatic Non-small Cell Lung Cancer and Concomitant EGFR T790M Mutation at Time of Diagnosis,COMPLETED,2016-08,ADULT OLDER_ADULT,Non-Small Cell Lung Cancer,TREATMENT,Osimertinib,The patients will be treated with 1 tablet of osimertinib (AZD9291) 80 mg per os (p.o.) daily up to 78 weeks from the time of the first administered dose.,INTERVENTIONAL,PHASE2,Objective response rate,"Lung Neoplasms Carcinoma, Non-Small-Cell Lung",PHASE2,osimertinib,RECRUITING,0
376,"First Affiliated Hospital, Sun Yat-Sen University",OTHER,PRINCIPAL_INVESTIGATOR,PD-1 Inhibitor Concurrent With Chemotherapy as Neoadjuvant Therapy for TNBC,PD-1 Inhibitor Sintilimab Concurrent With Epirubicin Cyclophosphamide and Nab-paclitaxel as Neoadjuvant Therapy for Triple Negative Breast Cancer,UNKNOWN,2021-03,ADULT,Triple Negative Breast Cancer,TREATMENT,Sintilimab,"The PD-1 inhibitor Sintilimab 200mg for intravenous (IV) administration will be given together with three-week epirubincin, cyclophosphamide (EC) × 4 treatments from the second cycle followed by weekly nab-paclitaxel x12 treatments or three-week nab-paclitaxel x4 treatments.",INTERVENTIONAL,PHASE2,Pathologic Complete Response (pCR),Breast Neoplasms Triple Negative Breast Neoplasms,PHASE2,sintilimab,RECRUITING,0
1022,University of Louisville,OTHER,SPONSOR,Phase II (Treatment) Study of Oxaliplatin and Capecitabine in Advanced Head and Neck Malignancies,Phase II Study of Oxaliplatin and Capecitabine in Advanced Head and Neck Malignancies,COMPLETED,2005-04,ADULT OLDER_ADULT,Head or Neck Cancer,TREATMENT,"Oxaliplatin, Capecitabine","Agent, DOSE AND SCHEDULE (28-days cycle):

Oxaliplatin 85 mg/m2 IV on days 1 and 15 Capecitabine 1500 mg PO BID on days 1-7 and 15-21",INTERVENTIONAL,PHASE2,Overall Response Rate,Neoplasms Head and Neck Neoplasms,PHASE2,"oxaliplatin, capecitabine",ACTIVE_NOT_RECRUITING,0
1022,University of Louisville,OTHER,SPONSOR,Phase II (Treatment) Study of Oxaliplatin and Capecitabine in Advanced Head and Neck Malignancies,Phase II Study of Oxaliplatin and Capecitabine in Advanced Head and Neck Malignancies,COMPLETED,2005-04,ADULT OLDER_ADULT,Head or Neck Cancer,TREATMENT,"Oxaliplatin, Capecitabine","Agent, DOSE AND SCHEDULE (28-days cycle):

Oxaliplatin 85 mg/m2 IV on days 1 and 15 Capecitabine 1500 mg PO BID on days 1-7 and 15-21",INTERVENTIONAL,PHASE2,Overall Response Rate,Neoplasms Head and Neck Neoplasms,PHASE2,"oxaliplatin, capecitabine",RECRUITING,0
1521,Nanjing Medical University,OTHER,PRINCIPAL_INVESTIGATOR,Individualized Precise Radiotherapy With the Guidance of Radiosensitivity of Locally Advanced Cervical Cancer,Individualized Precise Radiotherapy With the Guidance of Radiosensitivity: A Study on the Clinical Management Model of Locally Advanced Cervical Cancer,UNKNOWN,2015-07-01,ADULT OLDER_ADULT,Cervical Cancer,TREATMENT,"18F-FDG PET/CT and Comet assay guide RapidArc, 18F-FDG PET/CT and Comet assay guide IMRT, RapidArc, 7f-IMRT","1.A Rapid-Arc plan for cancer of the cervix uteri improved the sparing of organs at risk (OARs) with uncompromised target coverage. 2.Based on FDG-PET/CT and comet analysis, higher doses of irradiation can be delivered to low sensitivity tumor region, so as to achieve individualized treatment., Based on FDG-PET/CT and comet analysis, higher doses of irradiation can be delivered to low sensitivity tumor region, so as to achieve individualized treatment., RapidArc:

A maximum DR of 600 MU/min was set for comparing the 7f-IMRT treatment time. Two 360° coplanar arcs (one clockwise arc rotated from 181° to 179° and the other counter-clockwise arc rotated from 179° to 181°) sharing the same isocentre were used., seventy-five patients received IMRT. The 7f-IMRT gantry angles were 0°, 51°, 102°, 153°, 204°, 255° and 306°, with 20 intensity levels and a dose rate of 400 monitor units (MU)/min. Doses were delivered using the step-and-shoot method.Conventional fractionation was used in all patients for a total dose 45-50.4 Gy with 6 MV high-energy photons.",INTERVENTIONAL,"PHASE2, PHASE3",PFS,Uterine Cervical Neoplasms,"PHASE2, PHASE3","18f-fdg pet/ct and comet assay guide rapidarc, 18f-fdg pet/ct and comet assay guide imrt, rapidarc, 7f-imrt",UNKNOWN,0
2134,Sun Yat-sen University,OTHER,PRINCIPAL_INVESTIGATOR,Toripalimab as Monotherapy for Patients With Small Cell Carcinoma of Esophagus Who Failed Chemotherapy,"Phase II Clinical Trial of Toripalimab (JS001), a Recombinant Humanized Anti-PD-1 Monoclonal PD1 Antibody, as Monotherapy for Patients With Small Cell Esophageal Carcinoma Who Failed Chemotherapy",UNKNOWN,2018-11-21,ADULT OLDER_ADULT,"Small Cell Carcinoma of Esophagus, Advanced Cancer",TREATMENT,Toripalimab,"Drug: Toripalimab, 240mg, every 3 weeks until disease progress or intolerable toxicity",INTERVENTIONAL,PHASE2,Objective Response Rates (ORR),"Carcinoma Carcinoma, Small Cell Small Cell Lung Carcinoma Esophageal Neoplasms",PHASE2,toripalimab,COMPLETED,1
2540,National Cancer Institute (NCI),NIH,Unknown,Soy Protein in Preventing Recurrent Cancer in Patients Who Have Undergone Surgery for Stage II Prostate Cancer,Randomized Placebo-Controlled Adjuvant Study of Prevention of Prostate Cancer Recurrence After Radical Prostatectomy by Soy Protein Isolate,COMPLETED,2006-12,ADULT OLDER_ADULT,Prostate Cancer,TREATMENT,"soy protein isolate, placebo","Given orally, Given orally",INTERVENTIONAL,"PHASE2, PHASE3",Two-year PSA failure rate (as surrogate for recurrence) Time to PSA failure,Prostatic Neoplasms,"PHASE2, PHASE3","soy protein isolate, placebo",COMPLETED,1
2772,ChineseAMS,UNKNOWN,SPONSOR_INVESTIGATOR,Anlotinib in Metastatic HER2 Negative Breast Cancer,"The Efficacy and Safety of Anlotinib in Metastatic HER2 Negative Breast Cancer, a Single Arm Phase II Clinical Trial",COMPLETED,2018-07-12,ADULT OLDER_ADULT,"Breast Neoplasm, Antineoplastic Agents, Anlotinib",TREATMENT,Anlotinib Hydrochloride,"Anlotinib 12mg p.o. d1-14, 21days/cycle",INTERVENTIONAL,PHASE2,objective response rate(ORR),Breast Neoplasms,PHASE2,anlotinib hydrochloride,UNKNOWN,0
3096,M.D. Anderson Cancer Center,OTHER,SPONSOR,Fish Oil Versus Statins Versus Placebos in Reducing Atrial Fibrillation in Patients Undergoing Thoracic Surgery for Lung Cancer,"A Double Blinded, Randomized Study Comparing the Effectiveness of Fish Oil Supplements, Oral Statins, and Placebo in Reducing the Incidence of Atrial Fibrillation Following a Lung Resection in Patients With Lung Cancer",TERMINATED,2011-01,ADULT OLDER_ADULT,Advanced Cancers,TREATMENT,"Atorvastatin, Fish Oil Supplement, Placebo","1 capsule by mouth every morning 5 days before surgery, and 9 days after surgery or until discharge., 3 capsules by mouth in the morning and evening 5 days before surgery, and 9 days after surgery or until discharge., Placebo group: 4 capsules by mouth every morning and 3 every evening for 5 days before surgery and 9 days after surgery or until discharge.

Atorvastatin group: 3 capsules by mouth every morning and evening, 5 days before surgery and 9 days after surgery or until discharge.

Fish Oil Supplement group: 1 capsule by mouth every morning 5 days before surgery and 9 days after surgery or until discharge.",INTERVENTIONAL,"PHASE2, PHASE3",Incidences of Atrial Fibrillation During First 4 Days After Lung Resection,Lung Neoplasms Atrial Fibrillation,"PHASE2, PHASE3","atorvastatin, fish oil supplement, placebo",TERMINATED,0
